Incident_ID,Offense,Zipcode
74351,LARCENY- ALL OTHER,27514
74967,ASSIST OTHER AGENCY,27514
74939,INFORMATION,27516
74812,SHOPLIFTING,27514
74938,B&E LARCENY F/VEHICLE,27517
75165,B&E LARCENY F/VEHICLE,27514
74153,B&E RESIDENCE-FORCE,27514
74966,INFORMATION,27514
75081,ASSAULT ON FEMALE,27514
74557,B&E RESIDENCE NO FORCE,27514
74981,VANDALISM / DAMAGE TO PROPERTY (WILLFUL),27514
75114,INFORMATION,27514
74953,DAMAGE TO VEHICLE,27514
74800,FIGHTING/ AFFRAY,27514
75082,B&E LARCENY F/VEHICLE,27514
74716,LARCENY- ALL OTHER,27514
74963,TRESPASSING,27516
74545,DISTURBING THE PEACE,27516
74937,B&E RESIDENCE NO FORCE,27514
74801,BURGLARY-NO FORCE,27516
75089,B&E LARCENY F/VEHICLE,27517
74350,FIGHTING/ AFFRAY,27516
74965,DRUNK AND DISRUPTIVE,27514
75122,INFORMATION,27514
74945,LARCENY FROM MOTOR VEHICLE,27514
75248,LARCENY OF WALLET,27514
74799,ASSAULT-OTHER,27516
74968,INFORMATION,27516
75085,B&E LARCENY F/VEHICLE,27517
74940,LARCENY-SHOPLIFTING,27514
75113,DISTURBING THE PEACE,27516
74558,TRESPASSING,27516
74947,B&E RESIDENCE-FORCE,27514
74804,AUTOMOBILE THEFT,27514
74535,VANDALISM / DAMAGE TO PROPERTY (WILLFUL),27514
75086,FOUND PROPERTY,<Null>
74969,INJURED ANIMAL,27514
74720,JUVENILE ASSAULT,27517
74946,SUSPICIOUS CONDITION,27517
74803,INFORMATION,27514
75123,MOLESTATION,27517
74976,DISTURBING THE PEACE,27516
75088,INFORMATION,27514
74658,ASSIST OTHER AGENCY,27514
74954,CHILD NEGLECT (NO ASSAULT),27516
74816,COMMUNICATING THREATS -INTIMIDATION NON PHYSICAL THREAT,27517
75112,DOMESTIC DISTURBANCE/NO ASSAULT,27517
74975,BOMB THREAT,27514
75090,SIMPLE ASSAULT-OTHER,27514
74852,SIMPLE ASSAULT-OTHER,27516
76126,LARCENY- ALL OTHER,27516
74948,LOST PROPERTY,27514
75087,LARCENY-SHOPLIFTING,27514
74556,VANDALISM / DAMAGE TO PROPERTY (WILLFUL),27517
74974,HARASSING PHONE CALLS-NO THREATS,27517
74534,VANDALISM / DAMAGE TO PROPERTY (WILLFUL),27516
74421,TRESPASSING,27514
74813,B&E RESIDENCE-FORCE,27517
75091,OVERDOSE,27514
74941,K-9 SNIFF,27516
75125,PRECIOUS METAL PERMIT,27516
74971,SECURITY SURVEY,27517
74152,DOMESTIC DISTURBANCE/NO ASSAULT,27516
74811,B&E RESIDENCE-FORCE,27516
75093,ALARM,27514
74855,B&E RESIDENCE NO FORCE,27517
75134,LARCENY- ALL OTHER,27514
74970,COMMUNITY OUTREACH,27514
74352,ASSAULT WITH A DEADLY WEAPON,27514
74809,INFORMATION,27514
75092,INFORMATION,27514
74240,LARCENY- ALL OTHER,27514
75129,THREATENING PHONE CALLS,27517
75131,FRAUD-ALL OTHER,27516
75127,FOUND PROPERTY,27514
75124,COMMUNITY OUTREACH,27516
75148,LARCENY FROM AUTO /PARTS AND ACCESSORIES,27516
75136,B&E RESIDENCE NO FORCE,27517
75145,LARCENY BY EMPLOYEE,27516
75130,B&E VEH (ATT LAR F/VEH),27516
75132,LOST PROPERTY,27514
75135,INFORMATION,27510
75137,DISTURBING THE PEACE,27517
75169,COMMUNICATING THREATS -INTIMIDATION NON PHYSICAL THREAT,27516
75140,ATTEMPT TO SERVE INVOLUNTARY COMMITMENT PAPERS,27514
75143,POSSESSION MARIJUANA,27514
75138,COMMUNICATING THREATS -INTIMIDATION NON PHYSICAL THREAT,27516
75139,OPEN DOOR,27514
75142,INFORMATION,27514
75150,DISTURBANCE,27516
75141,FIGHTING/ AFFRAY,27514
75146,INVOLUNTARY COMMITMENT-NON CRIMINAL DETAINMENT,27514
75144,B&E LARCENY F/VEHICLE,27516
75149,B&E RESIDENCE-FORCE,27514
75147,LARCENY- ALL OTHER,27516
75172,B&E RESIDENCE-FORCE,27516
75152,INFORMATION,27514
75155,DISTURBANCE,27514
75160,DAMAGE TO PROPERTY(NON-CRIMINAL),27514
75153,INFORMATION/ALCOHOL OPERATION,27514
75151,LOST PROPERTY,27514
74873,DOMESTIC DISTURBANCE/NO ASSAULT,27517
74875,ROAD RAGE,27514
74676,TRESPASSING,27514
74870,ASSAULT WITH SEXUAL MOTIVE (NON-AGGRAVATED),27516
74869,LOUD MUSIC/PARTY,27516
74871,DISORDERLY CONDUCT,27514
74872,SIMPLE ASSAULT-OTHER,27514
74874,B&E RESIDENCE NO FORCE,27516
74681,LARCENY- ALL OTHER,27514
74883,INFORMATION,27516
74876,DAMAGE TO PROPERTY(NON-CRIMINAL),27517
74678,HARASSMENT,27514
74879,B&E LARCENY F/VEHICLE,27516
74679,CHECK ON WELL BEING,27514
74893,B&E RESIDENCE NO FORCE,27514
74680,B&E LARCENY F/VEHICLE,27517
74884,SUSPICIOUS PERSON,<Null>
74683,LOUD MUSIC/PARTY,27514
74878,COMMUNITY OUTREACH,27514
74686,LOUD MUSIC/PARTY,27707
74877,SECURITY SURVEY,27514
74682,K-9 SNIFF,27516
74880,LARCENY OF GAMEBOY,27514
74684,SIMPLE ASSAULT-OTHER,27514
74882,SECURITY SURVEY,27514
74685,ASSAULT WITH A DEADLY WEAPON,27516
74881,SECURITY SURVEY,27514
74688,VANDALISM / DAMAGE TO PROPERTY (WILLFUL),27514
74696,B&E LARCENY F/VEHICLE,27514
74697,B&E LARCENY F/VEHICLE,27514
74687,VANDALISM / DAMAGE TO PROPERTY (WILLFUL),27514
74690,LARCENY FROM MOTOR VEHICLE,27516
74689,LARCENY FROM MOTOR VEHICLE,27516
74691,INFORMATION,27514
74698,SIMPLE ASSAULT-OTHER,27516
74692,VANDALISM / DAMAGE TO PROPERTY (WILLFUL),27516
75069,INDECENT LIBERTIES,27516
74694,LARCENY- ALL OTHER,27517
74693,LARCENY- ALL OTHER,27514
74695,SCHEDULE II POSSESSION,27514
74699,ASSIST OTHER AGENCY,27516
74701,SUSPICIOUS,27516
74704,INFORMATION,27514
74700,K-9 SNIFF,27516
74705,FALSE REPORT,27514
74395,LARCENY FROM MOTOR VEHICLE,27514
74403,DOMESTIC DISTURBANCE/NO ASSAULT,27517
74554,DAMAGE TO PROPERTY(NON-CRIMINAL),27514
74808,VOLUNTARY MENTAL COMMITMENT,27514
75094,ALARM,27516
74832,SAFETY TALK,27514
74347,B&E VEH (ATT LAR F/VEH),27517
76129,SIMPLE ASSAULT-OTHER,27517
75098,B&E RESIDENCE NO FORCE,27516
74397,B&E LARCENY F/VEHICLE,27517
74810,B&E RESIDENCE-FORCE,27707
74851,LOUD MUSIC FROM VEHICLE,27514
74155,VANDALISM / DAMAGE TO PROPERTY (WILLFUL),27514
75095,INFORMATION,27516
74396,DOMESTIC DISTURBANCE/NO ASSAULT,27516
74807,OVERDOSE,27514
74655,ASSAULT WITH SEXUAL MOTIVE,27516
74669,TRESPASSING,27514
75101,SUSPICIOUS VEHICLE,27516
74402,LARCENY OF WALLET,27516
74806,SHOPLIFTING,27514
74854,K-9 SNIFF,27516
74563,B&E RESIDENCE NO FORCE,27514
74398,FORGERY- USING/UTTERING,27516
75099,K-9 SNIFF AT HIGH SCHOOL,27514
74834,LARCENY OF MAIL,27517
74453,LARCENY- ALL OTHER,27514
74243,INFORMATION,27517
75097,GRAFFITI VANDALISM,27514
74552,ALCOHOL VIOLATIONS,27516
74400,TRAFFIC STOP,27516
74814,INVOLUNTARY COMMITMENT-NON CRIMINAL DETAINMENT,27516
74158,SUSPICIOUS LETTER,27517
75109,LARCENY- ALL OTHER,27514
74151,VANDALISM / DAMAGE TO PROPERTY (WILLFUL),27517
74399,ALCOHOL VIOLATIONS,27514
74815,B&E RESIDENCE-FORCE,27516
75061,INFORMATION,27514
75100,ASSIST OTHER AGENCY,27510
75057,SUSPICIOUS CONDITION,27514
74408,INFORMATION,27514
74819,B&E RESIDENCE-FORCE,27514
74560,DOMESTIC DISTURBANCE/NO ASSAULT,27516
75102,COMMUNITY OUTREACH,27510
74455,ALARM,27517
74431,ASSAULT WITH A DEADLY WEAPON,27517
74149,DRIVING WHILE IMPAIRED,27514
74817,COMMUNICATING THREATS -INTIMIDATION NON PHYSICAL THREAT,27514
75106,LARCENY-SHOPLIFTING,27514
74549,ALCOHOL VIOLATIONS,27514
74401,SIMPLE ASSAULT-OTHER,27514
74973,SECURITY SURVEY,27517
74404,SECURITY SURVEY,27517
74827,B&E RESIDENCE-FORCE,27517
74354,INFORMATION,27514
74169,BURGLARY W/FORCE,27514
75107,INFORMATION,27514
74972,SECURITY SURVEY,27517
74413,TRAFFIC / DIRECTED PATROL,27516
74818,INFORMATION,27516
74664,B&E RESIDENCE NO FORCE,27516
74154,LARCENY- ALL OTHER,27517
74256,VANDALISM / DAMAGE TO PROPERTY (WILLFUL),27516
74977,LARCENY FROM BUILDING,27514
74409,B&E RESIDENCE-FORCE,27516
74820,ASSISTANCE,27514
75058,INFORMATION,27514
74159,B&E RESIDENCE NO FORCE,27516
74361,B&E LARCENY F/VEHICLE,27517
74978,TRESPASSING,27514
74407,LARCENY- ALL OTHER,27514
74514,INFORMATION,27516
74411,SIMPLE POSSESSION,27514
74410,INFORMATION,27516
74412,UNDISCIPLINED JUVENILE LESS THAN 16 YEARS/BUT OLDER THAN 6,27516
74443,INFORMATION,27516
74415,VOLUNTARY MENTAL COMMITMENT,27516
74414,TRAFFIC CHECKPOINT,27517
74417,COMMUNICATING THREATS -INTIMIDATION NON PHYSICAL THREAT,27514
74420,LARCENY OF BICYCLE,27514
74419,LARCENY OF CREDIT CARD,27514
74416,TRESPASSING,27516
74418,SUSPICIOUS CONDITION,27516
74266,B&E LARCENY F/VEHICLE,27517
74267,B&E LARCENY F/VEHICLE,27514
74269,SUSPICIOUS CONDITION,27517
74286,LARCENY- ALL OTHER,27516
74272,SECURITY SURVEY,27514
74270,ASSIST OTHER AGENCY,27510
74271,SUSPICIOUS VEHICLE,27514
74277,HARASSMENT,27516
74273,B&E LARCENY F/VEHICLE,27517
74285,B&E LARCENY F/VEHICLE,27514
74302,B&E RESIDENCE-FORCE,27514
74274,IDENTITY THEFT,27516
74276,B&E RESIDENCE-FORCE,27514
74275,B&E LARCENY F/VEHICLE,27514
74289,SUSPICIOUS PERSON,27514
74279,LARCENY- ALL OTHER,27514
74278,DRIVING WHILE IMPAIRED,27514
74280,INFORMATION,27514
74284,DOMESTIC SIMPLE ASSAULT,27517
74281,DISTURBANCE,27514
74297,LARCENY- ALL OTHER,27514
74283,ALCOHOL VIOLATIONS,27514
74282,ALCOHOL VIOLATIONS,27514
74287,TRESPASSING,27516
74288,ASSIST OTHER AGENCY - WARRANT SERVICE,27514
74290,DOMESTIC DISTURBANCE/NO ASSAULT,27514
74291,LARCENY FROM AUTO - LICENSE PLATE,27517
81464,DOMESTIC DISTURBANCE/NO ASSAULT,27517
74293,FORGERY- USING/UTTERING,27516
74292,DISTURBING THE PEACE,27514
74295,SUSPICIOUS PERSON,27514
74307,DOMESTIC DISTURBANCE/NO ASSAULT,27516
74306,SIMPLE ASSAULT-OTHER,27514
74294,ALERT OPERATION,27516
74296,FIGHTING/ AFFRAY,27516
74311,B&E LARCENY F/VEHICLE,27516
74298,B&E HOTEL ROOM - NO FORCE,27517
74299,DOMESTIC SIMPLE ASSAULT,27517
74304,ASSAULT ON FEMALE,27517
74300,TOWED VEHICLE,27514
74317,TOWED VEHICLE,27514
74301,UNDISCIPLINED JUVENILE LESS THAN 16 YEARS/BUT OLDER THAN 6,27514
74303,B&E RESIDENCE-FORCE,27516
74308,LARCENY- ALL OTHER,27514
74305,COMMUNICATING THREATS -INTIMIDATION NON PHYSICAL THREAT,27514
74310,B&E RESIDENCE NO FORCE,27514
74309,ASSIST OTHER AGENCY,27514
74313,SUSPICIOUS CONDITION,27514
74312,DRIVING WHILE IMPAIRED,27516
74314,OPEN CONTAINER,27516
74315,ABANDONED VEHICLE,27514
74349,LOST PROPERTY,27514
74322,DOMESTIC ASSISTANCE,27516
74320,INVOLUNTARY COMMITMENT-NON CRIMINAL DETAINMENT,27517
74318,FORGERY- USING/UTTERING,27514
74323,B&E RESIDENCE-FORCE,27707
74329,INFORMATION,27514
74330,ASSIST OTHER AGENCY,27516
74327,LARCENY- ALL OTHER,27517
74325,VANDALISM / DAMAGE TO PROPERTY (WILLFUL),27707
74331,INFORMATION,27516
74321,DISTURBING THE PEACE,27517
74319,INFORMATION,27516
74326,VANDALISM / DAMAGE TO PROPERTY (WILLFUL),27516
74333,DOMESTIC DISTURBANCE/NO ASSAULT,27517
74328,DOMESTIC DISTURBANCE/NO ASSAULT,27517
74324,INFORMATION,27514
74332,INFORMATION,27514
74334,FRAUD-ALL OTHER,27514
74335,SECURITY SURVEY,27514
74340,VANDALISM / DAMAGE TO PROPERTY (WILLFUL),27514
74343,ASSIST OTHER AGENCY,27516
74337,HARASSMENT,27514
74821,B&E LARCENY F/VEHICLE,27516
74660,LOST PROPERTY,27514
74982,DRUG VIOLATIONS,27514
74156,RESISTING AN OFFICER,27516
74824,LARCENY- ALL OTHER,27514
74257,K-9 SNIFF,27516
74454,INFORMATION,27514
74163,B&E RESIDENCE-FORCE,27517
74979,DISTURBING THE PEACE,27514
74825,DISTURBANCE,27514
74264,COMMUNICATING THREATS -INTIMIDATION NON PHYSICAL THREAT,27516
74192,ASSIST EMS,27516
74659,DOMESTIC DISTURBANCE/NO ASSAULT,27517
74987,SIMPLE ASSAULT-OTHER,27514
74826,SUSPICIOUS PERSON,27514
74363,LARCENY OF LICENSE PLATE,27514
74160,B&E RESIDENCE-FORCE,27516
74456,SUSPICIOUS VEHICLE,27517
74823,CALL FOR SERVICE,27514
74989,SUSPICIOUS PERSON,27516
74254,COMMUNITY OUTREACH,27516
74164,INFORMATION,27516
81826,NARCOTIC SNIFF,27516
74837,B&E LARCENY F/VEHICLE,27517
74980,SIMPLE ASSAULT-OTHER,<Null>
74359,DISTURBING THE PEACE,27514
74161,SIMPLE ASSAULT-OTHER,27514
74464,TRESPASSING,27516
74829,B&E LARCENY F/VEHICLE,27514
74983,DRUG VIOLATIONS,27516
74259,LOST WALLET,27514
74162,COMMUNICATING THREATS -INTIMIDATION NON PHYSICAL THREAT,27514
75054,DISTURBING THE PEACE,27514
74830,LARCENY- ALL OTHER,27514
74984,TRESPASSING,27517
74985,SIMPLE ASSAULT,27514
74990,REFUSING TO PAY FOR A TAXICAB,27514
74988,ASSIST OTHER AGENCY,<Null>
74986,URINATING IN PUBLIC,27514
74991,LARCENY- ALL OTHER,27514
75023,SUSPICIOUS PERSON,27514
75001,INFORMATION,27514
74993,INFORMATION,27516
74998,CALL FOR SERVICE,27517
74994,B&E RESIDENCE-FORCE,27516
74999,INFORMATION,27599
74995,LARCENY-SHOPLIFTING,27517
74996,VANDALISM / DAMAGE TO PROPERTY (WILLFUL),27516
75000,VANDALISM / DAMAGE TO PROPERTY (WILLFUL),27516
75002,LARCENYOF LAP TOP,27516
74997,INVOLUNTARY COMMITMENT-NON CRIMINAL DETAINMENT,27517
75024,CHECK ON WELL BEING,27514
75003,SUSPICIOUS PERSON,27516
75009,LOUD MUSIC/PARTY/OTHER NOISE,27514
75006,LARCENY- ALL OTHER,27514
75004,COMMUNICATING THREATS -INTIMIDATION NON PHYSICAL THREAT,27516
75007,INFORMATION,27278
75011,POSSESSING/CONCEALING STOLEN PROPERTY,27517
75008,ASSIST OTHER AGENCY,27514
75021,SIMPLE ASSAULT-OTHER,27516
75012,ASSIST OTHER AGENCY,27517
75010,LOST PROPERTY,27514
75013,INFORMATION,27516
75016,MISSING PERSON,27514
75015,COMMUNICATING THREATS -INTIMIDATION NON PHYSICAL THREAT,27514
75014,DOMESTIC DISTURBANCE/NO ASSAULT,27514
75121,TRAFFIC / DIRECTED PATROL,27517
75017,LARCENY- ALL OTHER,27516
75022,SOLICITING WITHOUT A PERMIT,27514
75019,VANDALISM / DAMAGE TO PROPERTY (WILLFUL),27514
75018,K-9 SNIFF,27516
75025,VANDALISM / DAMAGE TO PROPERTY (WILLFUL),27514
75020,B&E LARCENY F/VEHICLE,27514
75026,HARASSING PHONE CALLS,27514
75029,COMMUNICATING THREATS -INTIMIDATION NON PHYSICAL THREAT,27516
75027,DOMESTIC DISTURBANCE/NO ASSAULT,27514
75028,NARCOTIC SNIFF,27514
75030,LOUD MUSIC/PARTY,27516
75031,VANDALISM / DAMAGE TO PROPERTY (WILLFUL),27514
75033,OVERDOSE,27514
75032,LOUD MUSIC,27514
75034,LOUD NOISE,27516
75035,B&E RESIDENCE-FORCE,27517
75036,INFORMATION,27514
75039,DAMAGE TO VEHICLE,27516
75040,ALCOHOL VIOLATIONS,27514
75037,CREDIT CARD/ATM FRAUD,27514
75046,ASSAULT ON FEMALE,27514
75038,B&E LARCENY F/VEHICLE,27516
75047,NARCOTIC SNIFF,27514
75041,INFORMATION,27514
75045,OVERDOSE ATTEMPT,27516
75044,ASSIST OTHER AGENCY,27514
75042,DOMESTIC SIMPLE ASSAULT,27514
74665,LARCENY-SHOPLIFTING,27514
74345,LARCENY FROM GROCERY STORE,27514
75048,ASSIST EMS,27514
75050,ASSIST OTHER AGENCY,27514
74181,DRUG VIOLATIONS,27514
74661,ASSAULT,27514
74831,SECURITY SURVEY,27517
74165,DRIVING WHILE IMPAIRED,27516
74368,INFORMATION,27516
74166,VANDALISM / DAMAGE TO PROPERTY (WILLFUL),27514
74828,INFORMATION,27516
74515,LARCENY- ALL OTHER,27514
74168,LARCENY- ALL OTHER,27516
74835,LARCENY- ALL OTHER,27516
75053,LOST PROPERTY,27514
74190,LARCENY- ALL OTHER,27514
74833,LARCENY OF LAPTOP,27514
74362,LOUD MUSIC/PARTY,27517
74459,FRAUD-WORTHLESS CHECK,27517
74171,INFORMATION,27516
74836,INFORMATION,27514
74372,CYBER BULLYING,27516
74260,ASSAULT ON FEMALE,27514
74185,B&E RESIDENCE-FORCE,27514
74839,SOLICITING PERMIT,27514
74662,DOMESTIC DISTURBANCE/NO ASSAULT,27516
74366,SUSPICIOUS CONDITION,27514
74170,B&E RESIDENCE NO FORCE,27516
74840,B&E LARCENY F/VEHICLE,27517
75055,B&E LARCENY F/VEHICLE,27514
74263,B&E LARCENY F/VEHICLE,27514
74184,B&E RESIDENCE NO FORCE,27516
74844,INFORMATION,27514
74458,TRESPASSING,27516
74392,B&E RESIDENCE NO FORCE,27516
74178,DEATH INVESTIGATION,27517
74841,DISTURBING THE PEACE,27514
74462,LARCENY FROM RESIDENCE,27516
74174,TRESPASSING,27516
74843,CHECK ON WELL-BEING,27514
74268,B&E RESIDENCE NO FORCE,27516
74180,B&E RESIDENCE-FORCE,27514
74460,TRESPASS WARNING,27514
74842,ATTEMPTED SUICIDE,27516
81520,DEATH INVESTIGATION,27514
74406,TOWED VEHICLE,27514
74463,INFORMATION,27514
74845,ASSIST OTHER AGENCY,27514
74262,DISTURBING THE PEACE,27514
74172,LARCENY- ALL OTHER,27516
74466,ASSAULT WITH A DEADLY WEAPON,27517
74861,CALL FOR SERVICE,27510
74369,LARCENY OF CELL PHONE,27516
74179,INFORMATION,27517
74461,TRESPASSING,27514
74856,INVOLUNTARY COMMITMENT-NON CRIMINAL DETAINMENT,27514
74265,TRESPASSING,27516
74173,INVOLUNTARY COMMITMENT-NON CRIMINAL DETAINMENT,27516
74470,HARASSING PHONE CALLS-NO THREATS,27514
74846,LARCENY-SHOPLIFTING,27514
74371,B&E VEH (ATT LAR F/VEH),27514
74469,STOLEN PROPERTY,27514
74853,TRESPASSING,27514
74385,DOMESTIC DISTURBANCE/NO ASSAULT,27514
74465,SUSPICIOUS CONDITION,27514
74850,BLOCKING STREET/HIGHWAY,27514
74384,TRESPASSING/ 2ND DEGREE,27516
74468,SUICIDE THREATS,27516
74370,CHEMICAL SPILL,27514
74473,SIMPLE ASSAULT-OTHER,27514
74373,DAMAGE TO PROPERTY(NON-CRIMINAL),27514
74383,DOMESTIC DISTURBANCE/NO ASSAULT,27514
74472,DOMESTIC DISTURBANCE/NO ASSAULT,27517
74374,INFORMATION,27514
74763,ALCOHOL VIOLATIONS,27514
74382,FINANCIAL CRIME,27514
74475,SOLICITING PERMIT,27516
74386,FRAUD-ALL OTHER,27516
74467,COMMUNICATING THREATS -INTIMIDATION NON PHYSICAL THREAT,27516
74389,COMMUNICATING THREATS -INTIMIDATION NON PHYSICAL THREAT,27514
74487,DOMESTIC DISTURBANCE/NO ASSAULT,27514
74394,DEATH INVESTIGATION,27517
74492,DRUG VIOLATIONS,27514
74393,INFORMATION,27514
74388,ASSISTANCE,27514
74474,SIMPLE ASSAULT-OTHER,27516
74387,LOUD MUSIC/PARTY,27514
74476,B&E LARCENY F/VEHICLE,27514
74504,TRAFFIC CHECKPOINT,27514
74477,LARCENY- ALL OTHER,27516
74390,K-9 SNIFF,27516
74451,VANDALISM / DAMAGE TO PROPERTY (WILLFUL),27516
74484,CHECK ON WELL BEING,27517
74391,INFORMATION,27516
74479,LARCENY FROM BUILDING,27516
74478,POSSESSION MARIJUANA,27516
74483,SUSPICIOUS PERSON,27514